번호,장소,지역,주소,구분,위도,경도,전화번호
73,신리광장,강릉,강원 강릉시 주문진읍 신리천로 79,식음료,37.88264744,128.8224081,
74,썸머키친,강릉,강원 강릉시 죽헌길 67-6,식음료,37.77494514,128.8750889,
75,에이엠브레드앤커피,강릉,강원 강릉시 창해로14번길 24,식음료,37.77232609,128.9475336,
76,엔드 투 앤드,강릉,강원 강릉시 창해로 245,식음료,37.78741682,128.9260163,
77,엠꼼마카롱,강릉,강원 강릉시 저동골길 40-13 1층,식음료,37.79964445,128.8947458,
78,영진횟집,강릉,강원 강릉시 연곡면 해안로 1427,식음료,37.86797609,128.847462,033-662-7979
79,옛날초당순두부,강릉,강원 강릉시 운정길 141,식음료,37.78670555,128.8927564,
80,오버웨잇 강릉본점,강릉,강원 강릉시 경포로371번길 11,식음료,37.79620112,128.8961822,
81,조개공장,강릉,강원 강릉시 창해로 263,식음료,37.7884408,128.924484,
82,체크이스트,강릉,강원 강릉시 강변북길 153,식음료,37.76619051,128.9129247,
83,카페 덕덕,강릉,강원 강릉시 난설헌로 219번길 20-5,식음료,37.79429638,128.9139488,
84,카페루아,강릉,강원 강릉시 주문진읍 아래강정길 8-47 카페루아,식음료,37.9076199,128.8030869,
85,카페명경,강릉,강원 강릉시 청량학동길 1-3,식음료,37.74777743,128.9114431,
86,키크러스 강릉점,강릉,강원 강릉시 창해로14번길 48-1,식음료,37.77081561,128.9495741,
87,패티김 강릉,강릉,"강원 강릉시 난설헌로 201, 1층",식음료,37.79121422,128.9117993,
88,피앤비코,강릉,강원 강릉시 창해로14번길 22-1,식음료,37.77244957,128.9473991,033-651-2600
89,화이트크로우 탭하우스,강릉,강원 강릉시 관솔길12번길 14-3,식음료,37.73997682,128.8676215,
90,멍앤서프,강릉,강원 강릉시 송정동 963-2,체험,37.78701374,128.9270267,
91,세인트존스호텔 파인 인피니티풀,강릉,강원 강릉시 창해로 307,체험,37.79128075,128.9209314,033-660-9000
92,안목 펫비치,강릉,강원 강릉시 창해로14번길 20-1,체험,37.7726047,128.9473387,033-640-5428
93,하슬라아트월드,강릉,강원 강릉시 강동면 율곡로 1441,체험,37.70545629,129.0078449,033-644-9411
94,명파해변,고성,강원 고성군 현내면 명파리 230-29,관광지,38.54353862,128.4054307,033-680-3356
95,반비치,고성,강원 고성군 거진읍 반암리 53-1번지 선,관광지,38.42467611,128.4607666,
96,아야진 해변,고성,강원 고성군 토성면 아야진해변길 157,관광지,38.27651142,128.5527621,033-680-3356
97,통일전망대,고성,강원 고성군 현내면 금강산로 481,관광지,38.51441872,128.4166567,033-682-0088
98,고성동물병원,고성,강원 고성군 간성북로7번길 18,동물병원,38.38071356,128.4702185,033-681-2132
99,멍스테이,고성,강원 고성군 죽왕면 백도해변길 78,숙박,38.30184159,128.545239,
100,명파해변오토캠핑장,고성,강원 고성군 현내면 명파4길 47,숙박,38.54351143,128.405302,
101,바닷가펜션,고성,강원 고성군 죽왕면 천학정길 65,숙박,38.29401812,128.5474365,
102,보니블루 애견펜션,고성,강원 고성군 죽왕면 자작도선사길 130-24,숙박,38.305553,128.5400691,
103,설악의정원,고성,강원 고성군 토성면 용원로 595,숙박,38.21458163,128.5173767,
104,숲속의 정원,고성,강원 고성군 죽왕면 곡실평길 332,숙박,38.30653348,128.4897148,
105,오션투유리조트 속초설악비치 호텔앤콘도,고성,강원 고성군 죽왕면 삼포해변길 9,숙박,38.31704543,128.5310817,
106,켄싱턴리조트 설악밸리,고성,강원 고성군 토성면 신평골길 8-25 웰컴센터,숙박,38.22841247,128.4896882,033-633-0100
107,글라스하우스,고성,강원 고성군 토성면 천진해변길 43,식음료,38.26061724,128.5598592,
108,마추깡 카페,고성,강원 고성군 거진읍 해오름해변길 117,식음료,38.43889946,128.4539336,033-682-3050
109,미픽펍,고성,강원 고성군 죽왕면 삼포해변길 11-8 C동 미픽펍,식음료,38.31705029,128.5316338,
110,스퀘어루트,고성,강원 고성군 죽왕면 가향길 2-7,식음료,38.37526326,128.5056843,
111,아라커피,고성,강원 고성군 죽왕면 공현진길 6 1층,식음료,38.35236137,128.5097545,
112,앤트리카페,고성,강원 고성군 죽왕면 자작도선사1길 18-1,식음료,38.30930722,128.5402457,
113,카페 테일,고성,강원 고성군 죽왕면 가진길 40-5,식음료,38.37282751,128.508731,
114,풍어횟집,고성,강원 고성군 죽왕면 심층수길 40-12,식음료,38.32720068,128.5290913,033-632-8582
115,헬로우씨카페,고성,강원 고성군 죽왕면 괘진길 53-11,식음료,38.29628202,128.5474508,
116,논골담길,동해,강원 동해시 논골1길 2,관광지,37.55277016,129.1165868,033-530-2231
117,대진해수욕장,동해,강원 동해시 망상동 1-3,관광지,37.58149301,129.1091949,033-530-2272
118,망상해변,동해,강원 동해시 동해대로 6270-10,관광지,37.59225691,129.08969,033-530-2232
119,묵호등대,동해,강원 동해시 해맞이길 289,관광지,37.55483075,129.1184741,033-531-3258
120,추암조각공원,동해,강원 동해시 추암동 산72,관광지,37.47991814,129.1568824,033-530-2801
121,추암촛대바위,동해,강원 동해시 추암동 산69,관광지,37.47899434,129.1586323,033-530-2801
122,추암해변,동해,강원 동해시 촛대바위길 28,관광지,37.47708928,129.1592019,033-530-2801
123,동해동물병원,동해,강원 동해시 중앙로 214 태화빌딩,동물병원,37.51992764,129.1157695,033-532-7886
124,쥬쥬동물병원,동해,강원 동해시 지양길 6 1층,동물병원,37.49296704,129.10818,033-522-3313
125,필동물병원,동해,강원 동해시 한섬로 61-1 삼양타워1차,동물병원,37.52051987,129.1108721,033-534-7178
126,골든비치펜션,동해,강원 동해시 망상길 43,숙박,37.59104778,129.0887659,033-534-3772
127,글로리아펜션,동해,강원 동해시 망상길 49,숙박,37.59129464,129.0885299,
128,너랑온펜션,동해,강원 동해시 망상길 42,숙박,37.59091677,129.0892658,
129,망상파크펜션,동해,강원 동해시 망상길 45-1,숙박,37.59106271,129.08836,033-534-3993
130,올리브펜션,동해,강원 동해시 일출로 369,숙박,37.57391445,129.1167065,033-532-2563
131,콩콩&#39;짱짱 댕댕이집,동해,강원 동해시 전천로313 2층,숙박,37.48345894,129.1255994,
132,황토민박펜션,동해,강원 동해시 분토길 188-7,숙박,37.50874203,129.0957221,
133,꽃.개,동해,강원 동해시 새들길 75,식음료,37.57646162,129.0863956,
134,나인비치37Pub,동해,강원 동해시 동해대로 6218,식음료,37.59010013,129.0960376,
135,삐삐라떼,동해,강원 동해시 전천로 235-21 1층,식음료,37.48165235,129.1168845,
136,소르르,동해,강원 동해시 망상길 43,식음료,37.5910539,129.0887763,
137,알마레,동해,"강원 동해시 감추6길 40, 4층 알마레",식음료,37.51936288,129.1212926,033-535-8686
138,추암대게,동해,강원 동해시 촛대바위길 18,식음료,37.47780164,129.1588039,
139,카페 다온누리,동해,강원 동해시 감추2길 24 1층,식음료,37.51684843,129.1204062,
140,나인비치37Surf,동해,강원 동해시 동해대로 6218,체험,37.59010013,129.0960376,
141,덕산해변,삼척,강원 삼척시 근덕면 덕산리 119-5,관광지,37.38622893,129.2399822,033-572-3011
142,맹방해변,삼척,강원 삼척시 근덕면 맹방해변로 228-239,관광지,37.38974857,129.2319791,033-572-3011
143,삼척 미로(未老)정원,삼척,강원 삼척시 미로면 내미로리 167,관광지,37.44404294,129.0711412,033-575-4846
144,삼척 장미공원,삼척,강원 삼척시 정상동 232,관광지,37.43347057,129.1766732,033-570-4067
145,장호항,삼척,강원 삼척시 근덕면 장호항길,관광지,37.28643781,129.3178991,033-572-3011
146,장호해변,삼척,강원 삼척시 근덕면 장호리 413-8,관광지,37.28583179,129.3147671,033-572-3011
147,두타동물병원,삼척,강원 삼척시 중앙로 245-2,동물병원,37.44522975,129.1676189,033-574-0775
148,삼척동물병원,삼척,강원 삼척시 오십천로 558-1,동물병원,37.43407821,129.1772053,033-574-0075
149,셀레네동물병원,삼척,강원 삼척시 봉황로 163,동물병원,37.45224665,129.1694714,033-576-0142
150,그린향펜션,삼척,강원 삼척시 근덕면 용화안길 81-6,숙박,37.28548241,129.2996408,
151,꽃내음펜션,삼척,강원 삼척시 근덕면 용화안길 172,숙박,37.28355509,129.2975712,
152,나디아민박,삼척,강원 삼척시 근덕면 덕산해변길 144-6 나디아민박,숙박,37.38503009,129.2421822,
153,다사랑펜션,삼척,강원 삼척시 근덕면 용화안길 64-13,숙박,37.28645682,129.3005875,
154,신나개 애션펜션,삼척,강원 삼척시 근덕면 덕산해안로 78,숙박,37.38188252,129.2434085,
155,씨스포빌리조트,삼척,강원 삼척시 근덕면 상맹방길30-80 씨스포빌리조트,숙박,37.39591569,129.2207962,033-570-5000
156,장호비치캠핑장,삼척,강원 삼척시 근덕면 삼척로 2116,숙박,37.28456,129.3124077,033-576-0884
157,정원가든 애견동반펜션,삼척,강원 삼척시 근덕면 용화안길 225-1,숙박,37.28057338,129.2965226,
158,펜션오라,삼척,강원 삼척시 근덕면 삼척로 2095,숙박,37.28335108,129.3135037,
159,해마루 펜션,삼척,강원 삼척시 근덕면 장호1길27,숙박,37.28502643,129.3127314,
160,힐링캠프 애견동반 펜션,삼척,강원 삼척시 근덕면 용화안길 14,숙박,37.28871618,129.302706,
161,마린데크,삼척,강원 삼척시 새천년도로 326,식음료,37.45672693,129.1860439,033-574-2555
162,배나들,삼척,강원 삼척시 새천년도로 469-1,식음료,37.46385265,129.1756723,033-572-7717
163,카페로이,삼척,강원 삼척시 도계읍 도계로 222-11,식음료,37.22951576,129.04364,
164,커피정원,삼척,강원 삼척시 오십천로 566 벚꽃둑방길,식음료,37.43371985,129.1777922,033-575-4343
165,하쿠나마타타,삼척,강원 삼척시 근덕면 삼척로 2246,식음료,37.28823325,129.29906,033-575-7319
166,삼척시민약국,삼척,강원 삼척시 진주로 29,약국,37.44335235,129.1637535,
167,삼척해양레일바이크,삼척,궁촌정거장: 강원 삼척시 근덕면 공양왕길2 / 용화정거장: 강원 삼척시 근덕면 용화해변길23,체험,37.32364924,129.2663648,033-576-0656~8
168,대포항,속초,강원 속초시 대포동 954,관광지,38.17286584,128.6076144,033-633-3171
169,등대해수욕장,속초,강원 속초시 영랑해안길,관광지,38.21604439,128.5959489,033-639-2027
170,설악 해맞이공원,속초,강원 속초시 동해대로 3664,관광지,38.16315084,128.6085311,033-639-2422
171,속초 관광수산시장,속초,강원 속초시 중앙로147번길 12,관광지,38.20398774,128.5905516,033-633-3501
172,속초시 반려견놀이터,속초,강원 속초시 영랑호반길 329-1,관광지,38.21449294,128.5699195,033-639-2391
173,아바이마을,속초,강원 속초시  아바이마을1길,관광지,38.20061796,128.5948075,033-633-3171
174,청초호 호수공원,속초,강원 속초시 엑스포로 140,관광지,38.19192935,128.5865289,033-639-2422
175,고제용동물병원,속초,강원 속초시 동해대로 4212 1층,동물병원,38.19492911,128.5779182,033-633-4212
176,나의동물메디컬센터,속초,강원 속초시 동해대로 4163,동물병원,38.19091902,128.5793925,033-636-7179
177,설악동물병원,속초,강원 속초시 동해대로 4308,동물병원,38.20025233,128.5709125,033-631-6638
178,속초동물의료센터,속초,강원 속초시 수복로 69,동물병원,38.19891948,128.5772801,
179,속초삼성동물메디컬센터,속초,강원 속초시 엑스포로2길 22 1층,동물병원,38.19563683,128.5805064,033-636-0305
180,조광동물병원,속초,강원 속초시 만천2길 17-4,동물병원,38.19839889,128.5765565,033-631-5848
181,호박동물병원,속초,강원 속초시 설악금강대교로 20 호박동물병원,동물병원,38.19180999,128.59523,033-636-1114
182,금호설악리조트,속초,강원 속초시 노학동 795-4,숙박,38.18265196,128.54971,033-636-8000
183,바다향기,속초,강원 속초시 해오름로 13,숙박,38.1786968,128.6040409,033-631-7761
184,블루12 속초오션파크,속초,강원 속초시 해오름로 167,숙박,38.18888966,128.6034129,
185,월드스카이호텔,속초,강원 속초시 청초호반로 267,숙박,38.20113028,128.5864637,
186,이스파펜션,속초,강원 속초시 영랑해안길 159,숙박,38.21650286,128.5953558,
187,조양펜션,속초,강원 속초시 동해대로3950번길 15,숙박,38.18818624,128.6025734,
188,감초약국,속초,"강원 속초시 중앙로 126, 3층(감초약국)",약국,38.20234471,128.5900889,033-631-5857
189,금강산약국,속초,강원 속초시 번영로 207(금강산약국),약국,38.21707657,128.5900935,033-636-5668
190,동아약국,속초,"강원 속초시 중앙로 51,1층(동아약국)",약국,38.20063813,128.5819742,033-633-2876
191,삼성약국,속초,강원 속초시 중앙로5번길 8(삼성약국),약국,38.19803554,128.5778339,033-633-2879
192,속초 김약국,속초,"강원 속초시 동해대로 4174,1층(속초김약국)",약국,38.19190948,128.5794917,033-638-4151
193,속초시민약국,속초,강원 속초시 중앙로 11(속초시민약국),약국,38.1981025,128.5787296,033-636-8873
194,속초종로약국,속초,강원 속초시 동해대로 4147(속초종로약국),약국,38.189542,128.5804586,033-635-5661
195,정문약국,속초,강원 속초시 중앙로 7(정문약국),약국,38.19773763,128.5782439,033-633-6630
196,중앙약국,속초,"강원 속초시 중앙로 96,1층(중앙약국)",약국,38.2012863,128.5862372,033-635-8877
197,튼튼약국,속초,강원 속초시 청대로 347,약국,38.19747819,128.5721418,033-633-8467
198,한솔약국,속초,강원 속초시 동해대로 4288(한솔약국),약국,38.19888698,128.5724174,033-632-7751
199,호수약국,속초,강원 속초시 동해대로 4202(호수약국),약국,38.19461919,128.5790399,033-637-8130
200,속초반려동물문화축제,속초,강원 속초시 조양동 1546-1,체험,38.19066329,128.5844785,033-632-7576
201,양구레포츠공원,양구,강원 양구군 양구읍 정림리 205-7,관광지,38.10392303,127.983203,033-480-7204
202,파로호꽃섬,양구,강원 양구군 양구읍 하리 570-1,관광지,38.11469506,127.9847824,033-480-7381
203,한반도섬 자연습지,양구,강원 양구군 양구읍 한반도섬길 76,관광지,38.1306367,127.9828072,033-480-7267
204,춘천축산농협양구지점동물병원,양구,강원 양구군 양구읍 중앙길 33-6,동물병원,38.10593547,127.9896029,033-481-8606
205,학조리샘말펜션,양구,강원 양구군 양구읍 학안로 97-21,숙박,38.06830865,127.9792426,
206,낙산해수욕장,양양,강원 양양군 강현면 해맞이길 59,관광지,38.11692058,128.633882,033-670-2518
207,남애3리해수욕장,양양,강원 양양군 현남면 남애리 6-53,관광지,37.94595038,128.7839069,
208,남애항,양양,강원 양양군 현남면 매바위길 138,관광지,37.94492778,128.7871281,033-670-2397
209,남애항 스카이워크 전망대,양양,강원 양양군 현남면 남애리 2-72,관광지,37.94484473,128.7884848,033-670-2398
210,멍비치,양양,강원 양양군 현남면 광진리 78-20,관광지,37.95332631,128.7728595,
211,서피비치,양양,강원 양양군 현북면 하조대해안길 119,관광지,38.02775348,128.7175212,
212,설악해수욕장,양양,강원 양양군 강현면 전진2리,관광지,38.12420744,128.6299653,033-670-2114
213,정암해수욕장,양양,강원 양양군 강현면 정암리 3,관광지,38.14030207,128.6141954,033-671-8055
214,죽도정,양양,강원 양양군 현남면 인구리 1-1,관광지,37.97134592,128.7626748,033-670-2397
215,죽도해수욕장,양양,강원 양양군 현남면 시변리 33-38,관광지,37.97215912,128.7616571,033-670-2397
216,지경리해수욕장,양양,강원 양양군 현남면 지경리 22-18,관광지,37.92294151,128.8019296,033-671-4568
217,하조대전망대,양양,강원 양양군 현북면 하륜길 54,관광지,38.02181654,128.7283714,033-672-5647
218,하조대해수욕장,양양,강원 양양군 현북면 하광정리 80-2,관광지,38.02295226,128.7250689,033-672-5647
219,대명동물병원,양양,강원 양양군 양양읍 남문로 19-1,동물병원,38.07369573,128.6202171,033-673-4004
220,강이네하우스,양양,강원 양양군 서면 상평1길 17-2,숙박,38.06692416,128.5833551,
221,글램독 애견펜션 양양점,양양,강원 양양군 현남면 화상천로 46,숙박,37.92742596,128.7876747,
222,더퍼피즈블루오션,양양,강원 양양군 강현면 동해대로 3411,숙박,38.14196164,128.6124589,
223,몬띠마르펜션,양양,강원 양양군 강현면 진미로 510-36,숙박,38.11898823,128.5705988,
224,발렌타인애견펜션,양양,강원 양양군 손양면 남대천로 251-117,숙박,38.04593739,128.6149272,
225,보노펜션,양양,강원 양양군 손양면 선사유적로 240-29,숙박,38.05352174,128.6864849,
226,빈티지하우스펜션,양양,강원 양양군 손양면 수산2길 16-11,숙박,38.07796647,128.671523,
227,서퍼스파라다이스 STAY,양양,강원 양양군 현남면 인구길 60-11,숙박,37.96967041,128.7616146,
228,서프쉑,양양,강원 양양군 손양면 선사유적로 316-74,숙박,38.05318853,128.6868168,
229,설악비치펜션,양양,강원도 양양군 강현면 뒷나루2길 5-4,숙박,38.12933371,128.6229434,
230,숲속의집,양양,강원 양양군 현북면 어성전길 402,숙박,37.93192757,128.674843,033-673-9597
231,신원비엔빌,양양,강원 양양군 손양면 굴개길 72,숙박,38.05350137,128.682759,033-672-8777
232,아담하우스,양양,강원 양양군 강현면 주청2길 17,숙박,38.11793029,128.6297603,
233,아름다운바다콘도텔,양양,강원 양양군 강현면 동해대로 3575,숙박,38.15569302,128.6088676,033-673-6612
234,아쇼카펜션,양양,강원 양양군 손양면 선사유적로 316-104,숙박,38.05139985,128.688467,
235,양양캠핑장 어성전계곡야영장,양양,강원 양양군 현북면 어성전길 182-18,숙박,37.94716181,128.6634302,033-672-0236
236,양양해피플레이스,양양,강원 양양군 강현면 중복골길 11,숙박,38.14120896,128.5727595,
237,오핑펜션,양양,강원 양양군 강현면 뒷나루2길 24-1,숙박,38.12807794,128.6243134,
238,페트리코펜션,양양,강원 양양군 손양면 선사유적로 244,숙박,38.05310851,128.6844071,
239,하얀멍이 애견펜션,양양,강원 양양군 서면 들돌길 207,숙박,38.08286387,128.5722685,
240,하조대아름들,양양,강원 양양군 현북면 검소길 111,숙박,38.00799846,128.6917219,033-672-5955
241,화이트샌드펜션,양양,강원 양양군 현남면 새나루길 31,숙박,37.97200617,128.7618611,
242,물무리골생태습지,영월,강원 영월군 영월읍 영월로 1713-12,관광지,37.19724469,128.4501969,
243,선돌,영월,강원 영월군 영월읍 방절리 산 122,관광지,37.20557108,128.4340853,
244,요선암 돌개구멍,영월,강원 영월군 무릉도원면 무릉리 산139,관광지,37.29811732,128.2608802,033-560-2379
245,요선암 요선정,영월,강원 영월군 무릉도원면 무릉리 산139,관광지,37.29811732,128.2608802,033-370-2931
246,젊은달와이파크,영월,강원 영월군 주천면 송학주천로 1467-9,관광지,37.27400332,128.2692247,033-372-9411
247,한반도지형,영월,강원 영월군 한반도면 옹정리 산180,관광지,37.22137219,128.3454046,
248,바로동물병원,영월,강원 영월군 영월읍 중앙로 62 1층,동물병원,37.18336745,128.4706723,
249,수호동물병원,영월,강원 영월군 영월읍 하송안길 37 1층,동물병원,37.18151297,128.4649207,033-375-9275
250,금방아 민박 캠핑장,영월,강원 영월군 무릉도원면 무릉법흥로 516,숙박,37.31786034,128.2603555,
251,꿈엔들캠프,영월,강원 영월군 무릉도원면 무릉법흥로 968-12,숙박,37.3428711,128.2809798,
252,남강캠프,영월,강원 영월군 무릉도원면 무릉법흥로 1050-16,숙박,37.34996603,128.2802001,033-375-1006
253,사람과자연펜션,영월,강원 영월군 주천면 평창강로 67,숙박,37.29351938,128.3329617,
254,산여울 캠핑장,영월,강원 영월군 무릉도원면 백년계곡길 142,숙박,37.37706961,128.2717951,033-375-2268
255,슬로우캠프,영월,강원 영월군 무릉도원면 고일길 18-5,숙박,37.3463625,128.1948694,
256,여울소리 오토 캠핑장,영월,강원 영월군 무릉도원면 중방길 2-45,숙박,37.29335475,128.2687783,033-375-7863
257,영월 스카이 펜션&캠핑장,영월,강원 영월군 무릉도원면 무릉법흥로 852-15,숙박,37.3353952,128.2823443,033-372-0399
258,영월캠프,영월,강원 영월군 무릉도원면 무릉법흥로 1208-56,숙박,37.36214886,128.2772394,
259,영월키즈캠핑장(힐링캠프),영월,강원 영월군 무릉도원면 무릉법흥로 1208-7,숙박,37.36410794,128.2734027,
260,영월한반도캠핑장,영월,강원 영월군 한반도면 후탄로 826,숙박,37.21525552,128.3562489,
261,월드니스 글램핑장,영월,강원 영월군 무릉도원면 도원운학로 475-10,숙박,37.29993249,128.220668,
262,월드니스 오토 캠핑장,영월,강원 영월군 무릉도원면 도원운학로 475-10,숙박,37.29993249,128.220668,
