업종,업소명,주소,연락처
한식,진미식당,강원도 강릉시 금성로45번길16(성남동),033-648-8477
한식,서소문,강원도 강릉시 하평4길48(포남동),033-653-7244
한식,우리식당,강원도 강릉시 용지각길27(포남동,033-646-1618
한식,영동보양탕,강원도 강릉시 강릉대로337-4(포남동),033-653-6537
한식,해동식당,강원도 강릉시 남구길18번길39(포남동),033-646-3339
한식,정원식당,강원도 강릉시 경강로2267번길26(포남동),033-646-9443
한식,남매식당,강원도 강릉시 경강로2234번길6(포남동),033-642-7113
한식,원호불고기,강원도 강릉시 임영로180-11(임당동),033-643-9772
한식,성남칼국수,강원도 강릉시 중앙시장1길10(성남동),033-643-1632
한식,강릉명동칼국수,강원도 강릉시 중앙시장1길5(성남동),033-648-1230
한식,소나무,강원도 강릉시 금성로45번길8(성남동),033-648-7094
한식,미래식당,강원도 강릉시 금성로22번길9(금학동),033-648-5598
한식,정아네맛집,강원도 강릉시 옥가로64(옥천동),033-655-0331
한식,옛청기와생선구이갈비탕,강원도 강릉시 옥가로19번길 17,033-648-8227
한식,머먹을래,강원도 강릉시 공제로359번길49-2(홍제동),033-644-5682
한식,병산감자옹심이,강원도 강릉시 공항길39-6(병산동),033-652-0785
한식,동산숯불구이,강원도 강릉시 율곡로2968번길25(교동),033-646-2239
한식,영세감자탕,강원도 강릉시 원대로29(교동),033-641-6978
한식,꺽다리와아줌마,강원도 강릉시 하슬라로206번길7-1(교동),033-641-6559
한식,대형생삼겹생선구이,강원도 강릉시 성덕포남로 103,033-651-7060
한식,도리,강원도 강릉시 지변길 20,033-641-1231
한식,강릉대 학사식당,강원도 강릉시 지변길 10,033-648-1135
중식,연곡반점,강원도 강릉시 진고개로2717-1번지,033-661-5559
경양식,중앙돈가스,강원도 강릉시 금성로23번길 4-6,033-655-0355
기타 양식,커피야,강원도 강릉시 율곡로 2692번길 56,033-645-8034
세탁업,태양세탁소,강원도 강릉시 노가니남길 18,033-641-3195
세탁업,크린스타세탁,강원도 강릉시 하슬라로 232번길 14-7,033-655-8119
세탁업,뉴베스트세탁,강원도 강릉시 홍제로41(홍제동),033-642-5840
세탁업,하나세탁소,강원도 강릉시 강릉대로469번길21(포남동),033-651-6581
세탁업,고려퍼크로세탁,강원도 강릉시 경강로2323번길9(포남동),033-651-3249
세탁업,영동콜세탁소,강원도 강릉시 옥천로59(옥천동),033-645-8524
세탁업,경남세탁소,강원도 강릉시 현내시장길62,033-534-0701
세탁업,한신컴퓨터세탁,강원도 강릉시 명륜로95-7(교동),033-641-2395
세탁업,주신세탁소,강원도 강릉시 율곡로2968번길25(교동),033-642-4782
세탁업,레인보우크리닝,강원도 강릉시 하슬라로232번길21-9(교동),033-641-3354
세탁업,흥일세탁소,강원도 강릉시 임영로37(노암동),033-642-5732
이·미용업,준헤어미용실,강원도 강릉시 토성로 123번길 6,
이·미용업,은진미용실,강원도 강릉시 금성로31번길 5,033-642-9210
이·미용업,화신미용실,강원도 강릉시 홍제로38(홍제동),033-642-3295
이·미용업,이정윤미용실,강원도 강릉시 보래미하길53번길161(포남동),033-652-3180
이·미용업,까꼬뽀꼬미용실,강원도 강릉시 율곡로2798(성남동),033-645-1285
이·미용업,성규미용실,강원도 강릉시 중앙시장2길43-1(성남동),033-641-0178
이·미용업,성미용실,강원도 강릉시 금성로21(성남동),033-646-0777
이·미용업,예찬미용실,강원도 강릉시 중앙시장2길34(성남동),033-644-7863
이·미용업,행복한미용실,강원도 강릉시 금성로23번길12(성남동),033-642-8618
이·미용업,윤미용실,강원도 강릉시 중앙시장3길21(성남동),033-643-7490
이·미용업,새한미용실,강원도 강릉시 중앙시장3길21(성남동),033-642-9781
이·미용업,차미랑헤어숍,강원도 강릉시 중앙시장길6(성남동),033-645-5475
이·미용업,이미경헤어아트,강원도 강릉시 주문진읍 시장길49,
이·미용업,현대미용실,강원도 강릉시 항구윗길7,033-661-6642
이·미용업,인태리미용실,강원도 강릉시 동부시장길21(옥천동),033-648-5677
이·미용업,동산미용실,강원도 강릉시 현내시장길65,033-534-0137
이·미용업,현미용실,강원도 강릉시 강변로440번길36-4(입암동),033-651-3488
이·미용업,레이디미용실,강원도 강릉시 강변로508(입암동),033-653-3341
이·미용업,우연정미용실,강원도 강릉시 율곡로2692번길 56 (입암동),033-641-1758
이·미용업,사천미용실,강원도 강릉시 미노길63,033-644-1024
이·미용업,고은아미용실,강원도 강릉시 강릉대로172(교동),033-647-2732
이·미용업,협동이용소,강원도 강릉시 강동초교길42,033-645-7135
이·미용업,성심이용소,강원도 강릉시 연화봉길13(노암동),033-645-2856
이·미용업,A-줌마헤어,강원도 강릉시 노가니남길25(노암동),
이·미용업,진희미용실,강원도 강릉시 율곡로2755-3(노암동),033-643-2025
이·미용업,금빛미용실,강원도 강릉시 중앙시장 2길 56,033-643-4590
이·미용업,황실헤어클럽,강원도 강릉시 중앙시장길 13,033-643-2885
기타 서비스업,모아모아당구장,강원도 강릉시 용지각길 42,033-643-4400
기타 서비스업,후지칼라 강릉점,강원도 강릉시 경강로2069,033-646-2000
한식,산내식당,강원도 동해시 한섬로 37-1,033-533-8504
한식,다복돌판구이,강원도 동해시 발한로136,033-532-2629
한식,시골,강원도 동해시 지양길9,033-521-0163
한식,친구네회포차,강원도 동해시 한섬로 18(107호),033-535-0776
한식,흥부네국수랑분식,강원도 동해시 복개로28,033-535-5802
한식,향정,강원도 동해시 감추7길 10-1,033-532-7671
한식,석촌,강원도 동해시 천곡1길 43,033-535-2516
한식,장터뚜구리,강원도 동해시 감추3길 36,033-535-7755
한식,닭갈비천국,강원도 동해시 천곡로 68 (2층),033-533-9753
한식,장모님닭계장,강원도 동해시 중앙로 234,033-532-7603
한식,구울래 머글래,강원도 동해시 천곡로 24,033-535-5888
한식,우리닭집 우리칼국수,강원도 동해시 시장안길 35,033-533-4784
한식,웰빙주먹밥,강원도 동해시 효자남길 41,033-521-1536
한식,동해닭갈비,강원도 동해시 효자남길 36,033-522-6868
한식,삼송갈비,강원도 동해시 송정로 39,033-532-4077
한식,옛촌,강원도 동해시 감추4길 6,033-533-0838
한식,황금어장,강원도 동해시 한섬로 113,033-533-8824
한식,월성식당,강원도 동해시 삼화1길 36-1,033-534-8777
한식,정문분식,강원도 동해시 효자남길 50-1,033-522-0059
한식,향토음식점,강원도 동해시 동굴4길 18,033-533-2358
한식,까치분식,강원도 동해시 중앙시장길 2-1,033-535-3096
한식,한아름칼국수,강원도 동해시 발한복개로 23,033-532-4954
일식,박가네웰빙횟집,강원도 동해시 중앙로 234,033-533-7181
일식,오대게,강원도 동해시 일출로 88,033-532-0057
중식,다래원,강원도 동해시 감추4길 39,033-535-0225
중식,거동탕수육,강원도 동해시 일출로 1-1,033-532-4778
경양식,1855블랙스톤,강원도 동해시 대학로35,033-535-4860
경양식,Rococo,강원도 동해시 청운로 90,033-521-4785
이·미용업,미앤미헤어샵,강원도 동해시 동굴로 15,033-533-8796
이·미용업,김유진헤어샵,강원도 동해시 발한로 208,033-534-2456
이·미용업,항골이용소,강원도 동해시 항골길 52,033-532-1820
이·미용업,초록머리방,강원도 동해시 항골길 3-2,033-533-6055
목욕업,북평헬스사우나,강원도 동해시 전천로 240,033-521-1823
한식,왕김밥,강원도 태백시 황지로 243,033-552-8858
한식,강릉족발,강원도 태백시 번영로144,033-553-3458
한식,다복한정식,강원도 태백시 장성로 36,033-581-6600
한식,하나로실비식당,강원도 태백시 시장안1길 24,033-554-1567
한식,희진숯불갈비,강원도 태백시 감천로 14,033-553-9088
한식,가마솥순두부,강원도 태백시 태백로 2162-1,033-581-8760
한식,할매곱창,강원도 태백시 철암동370-2,033-582-1607
중식,황궁쟁반짜장,강원도 태백시 황지로 148,033-552-7515
한식,면사무소,강원도 속초시 번영로105번길 10,033-636-0582
한식,마루촌가든,강원도 속초시 온천로 147,033636-3188
한식,풍년막국수,강원도 속초시 이목로 104-2,033-631-5650
한식,서울칼국수,강원도 속초시 중앙로108번길 67,033-633-5777
한식,사랑채,강원도 속초시 먹거리4길 22(교동),033-638-3337
한식,삼오정,강원도 속초시 먹거리길 61,033-635-3501
한식,동강청정한우앤한돈,강원도 속초시 선사로 7-10,033-637-3775
경양식,꼬시네 돈가스,강원도 속초시 수복로 217,033-635-4994
경양식,뽀빠이 돈가스,강원도 속초시 선사로1길 19-1,033-635-3400
이·미용업,선우헤어,"강원도 속초시 조양로 161, 204호",033-632-2166
이·미용업,심미주헤어샾,강원도 속초시 만천1길 42-1(교동),033-636-6302
한식,장수칼국수,강원도 삼척시 오십천로476-12,033-574-8400
한식,안동장터국밥,강원도 삼척시 정상안1길 13-3,033-573-9299
한식,푸짐이왕족발,강원도 삼척시 정상안1길 14-12,033-575-1101
한식,오징어보쌈,강원도 삼척시 정상안길100,033-574-7787
한식,고천순두부,강원도 삼척시 청석로3길 8,033-574-5794
한식,강대돈스탑,강원도 삼척시 언장2길 48,033-572-9222
한식,송성헌쌈밥,강원도 삼척시 중앙로 105-10,033-573-8823
한식,착한국밥,강원도 삼척시 사대1길 10-3,033-575-0300
한식,중앙시장식당,강원도 삼척시 진주로12-21. A동63호,033-572-9337
한식,풍년식당,강원도 삼척시 당저길8 (당저동),033-573-7138
한식,가원,강원도 삼척시 근덕면 교가길 22-13,033-572-2489
한식,월드한우구이촌,강원도 삼척시 청석로3길 15(교동),033-573-4595
한식,바다내음,강원도 삼척시 남양길 25 (남양동),033-574-3434
한식,명가해물,강원도 삼척시 진주로 50-1(당저동),033-573-9950
한식,고기촌플러스,강원도 삼척시 남양길 25 (남양동),033-573-5502
한식,숯불마당갈비,강원도 삼척시 성당길 75(당저동),033-573-8431
한식,재신밥집,강원도 삼척시 대학로 30-1(성내동),033-573-3782
한식,남천주물럭,강원도 삼척시 남양길 14-13,033-574-5070
한식,남양한우실비식당,강원도 삼척시 척주로 54-10,033-574-3399
한식,동해바다,강원도 삼척시 봉황로 91-70,033-574-0987
한식,보리골돈이,강원도 삼척시 대학로7(읍중동 4-10),033-572-1615
한식,미호회관,강원도 삼척시 남양길 33(남양동),033-574-0666
한식,짱스넥,강원도 삼척시 언장2길 31(고동),033-574-6090
한식,공룡밥그릇,강원도 삼척시 언장2길 31(교동),033-574-1050
한식,석미한우집,강원도 삼척시 청석로 74(정상동 석미상가2층),033-574-9155
한식,태성갈비,강원도 삼척시 정상안1길 7-31(정상동 463-10),033-574-6646
한식,저팔계,강원도 삼척시 대학로 15,033-572-8292
한식,대청마루,강원도 삼척시 사대안2길 26-12(당저동),033-574-7979
한식,등대,강원도 삼척시 봉황로 21-42,033-574-0399
한식,강화가든,강원도 삼척시 원당로2길 69 (원당동),033-575-0011
일식,행운회수산,강원도 삼척시 도계읍 도계느티로8,033-541-2999
중식,룽성교동점,강원도 삼척시 청석로 7-40,033-575-9559
중식,신성춘,강원도 삼척시 남양길 25,033-575-8333
세탁업,대광세탁소,강원도 삼척시 봉황로 91-87,033-572-8060
한식,버섯매운탕칼국수,강원도 홍천군 홍천읍 갈마로 4,033-435-5559
한식,명촌아구해물찜,강원도 홍천군 홍천읍 연봉로 47,033-434-4527
한식,통나무식당,강원도 홍천군 홍천읍 신장대로 53-5,033-434-4320
한식,설악감자탕,강원도 홍천군 홍천로 340-1,033-435-3603
한식,꽃돼지,강원도 홍천군 갈마로 6,033-433-9282
한식,퇘랑생고깃집,강원도 홍천군 신장대로 602,033-432-9192
한식,삼오식당,강원도 홍천군 희망로 16길 6,033-434-2435
한식,두양식당,강원도 홍천군 석화로 104,033-432-6916
한식,무궁화부페,강원도 홍천군 신장대로 94,033-432-5952
한식,갈마닭갈비,강원도 홍천군 석화로 141-1,033-434-6247
한식,김밥나라,강원도 홍천군 신장대로 87,033-432-1114
중식,도원식당,강원도 홍천군 홍천읍 홍천로3길 25,033-434-2649
중식,귀빈반점,강원도 홍천군 번영로 12,033-434-1422
기타 양식,나누기 카페,강원도 홍천군 북방면 홍천로 201,033-435-0330
이·미용업,은혜미용실,강원도 홍천군 두촌면 자은로369,033-435-8619
한식,승원식당,강원도 횡성군 횡성읍 읍상서로7번길 13,033-343-4350
한식,큰집족발,강원도 횡성군 횡성읍 읍상서로7번길 37,033-343-5023
한식,김밥촌,강원도 횡성군 횡성읍 문정로 39-5,033-344-5714
한식,나영식당,강원도 횡성군 삼일로 59-1,033-345-4461
한식,웅이네,강원도 횡성군 둔내면 청태산로89,033-345-6420
한식,어사촌,강원도 횡성군 횡성읍 삼일로77,033-345-7179
한식,고네미막국수,강원도 횡성군 횡성읍 한우로 765-2 (추동리),033-343-6443
한식,처가집,강원도 횡성군 횡성읍 태기로 10-1,033-343-4564
한식,제일식당,강원도 횡성군 횡성읍 읍상서로 5-30,033-343-5039
한식,메주네참숯닭갈비,강원도 횡성군 횡성읍 삼일로 61,033-345-2266
한식,라도유황오리주물럭,강원도 횡성군 횡성읍 읍하로 52,033-343-9277
한식,대흥정육식당,강원도 횡성군 횡성읍 읍상서로 5번길 26,033-343-2312
한식,작은밥집,강원도 횡성군 횡성읍 삼일로 4-2,033-344-2900
기타 양식,달보드레,강원도 횡성군 횡성읍 읍상서로7번길13,033-373-9039
기타 양식,횡성빵굽는마을,강원도 횡성군 횡성읍 읍상서로5-17,033-344-0404
기타 양식,헤아려담다,강원도 횡성군 횡성읍 태풍로9,033-345-3124
기타 양식,제이랑빈,강원도 횡성군 횡성읍 횡성로406,033-343-4469
기타 양식,이슬찻집,강원도 횡성군 횡성읍 문정로 19번길 17,033-343-3232
이·미용업,버들머리방,강원도 횡성군 횡성읍 읍상로59,033-343-8006
이·미용업,홍미용실,강원도 횡성군 횡성읍 태기로 20,033-343-4439
숙박업,드림파크모텔,강원도 횡성군 횡성읍 문정로 30번길 7,033-344-5300~2
한식,강변식당,강원도 영월군 영월읍 제방안길 214,033-373-5502
한식,단골식당,"강원도 영월군 영월읍 중리1길 108,103호",033-375-1900
한식,강원칡냉면,강원도 영월군 영월읍 단종로 44,033-373-5559
한식,청호식당,강원도 영월군 영월읍 서부시장길 8-6,033-374-4800
한식,산들바람,강원도 영월군 남면 별방창원로 1423,033-372-1589
한식,풍수원,강원도 영월군 영월읍 단종로16번길 37,033-375-9889
한식,산속의 친구,강원도 영월군 북면 덕전길 132-54,033-372-5177
한식,백연농가,강원도 영월군 상동읍 덕구로 763,033-378-6452
한식,삼겹천왕,강원도 영월군 영월읍 제방안길 16-1,033-375-1253
한식,천문대식당,강원도 영월군 영월읍 삼옥재길 13,033-375-5151
한식,영월탄광촌,강원도 영월군 영월읍 단종로 171-1,033-374-0807
한식,양가네,강원도 영월군 영월읍 서부시장길 16-14,033-375-3505
한식,밀촌샤브해물칼국수,강원도 영월군 영월읍 분수대길 34,033-375-5422
한식,청학동,강원도 영월군 영월읍 단종로 15번길 4,033-374-7166
한식,광천숯불구이,강원도 영월군 하송로 138,033-373-1019
한식,엄마네쌈밥,강원도 영월군 중앙1로 32-2,033-373-0211
한식,우성식당,강원도 영월군 중앙1로 16,033-373-9039
이·미용업,심미용타운,강원도 영월군 영월읍 중앙로 13-1,033-374-0799
한식,삼태기식당,강원도 평창군 평창읍 송학로 31,033-334-5656
한식,여기식당,강원도 평창군 미탄면 창리702-1,033-333-0322
한식,고마루식당,강원도 평창군 미탄면 미탄중앙로45,033-332-2470
한식,안미칼국수,강원도 평창군 대화면 대화시장2길 123,033-335-8664
한식,양푼이동태탕,강원도 평창군 평창읍 평창시장1길 18,033-333-8255
한식,그린식당,강원도 평창군 평창읍 백오1길 25-5,033-332-2297
한식,보리고개식당,강원도 평창군 평창읍 노성로 46,033-334-0691
한식,하박국,강원도 평창군 대화면 대화중앙로 45-2,033-335-4813
한식,황소고집,강원도 평창군 평창읍 평창중앙로 83-28,033-333-1818
한식,정록식당,강원도 평창군 대화면 남산 1길 3,033-335-2230
한식,성환식당,강원도 평창군 평창읍 하리56-15,033-332-3246
한식,원미막국수,강원도 평창군 평창읍 하평길 39-5,033-332-5035
중식,평창식당,강원도 평창군 미탄면 미탄중앙로 41,033-332-3990
경양식,이박사 돈까스,강원도 평창군 평창읍 백오로 118,033-332-1379
기타 양식,일미통닭,강원도 평창군 진부면 진부시간안길 23,033-336-6644
한식,화정식당,강원도 정선군 임계면 송계5길 9,033-563-3550
한식,번영식당,강원도 정선군 북평면 북평3길 58-6,033-562-3188
한식,민둥산 한우촌,강원도 정선군 남면 내자고치길6,033-592-6464
한식,남면식당,강원도 정선군 남면 칠현로94,033-591-7272
한식,박부자숯불갈비,강원도 정선군 신동읍 함백로 313,033-378-3690
한식,오케이식당,강원도 정선군 고한읍 고한5길 28,033-591-8989
한식,춘천닭갈비,강원도 정선군 정선읍 봉양2길 35,033-562-9945
한식,진미옥,강원도 정선군 정선읍 칠현로 1915,033-563-8185
한식,대흥식당,강원도 정선군 5일장길 37-9,033-563-1319
한식,시장분식,강원도 정선군 5일장길 39,033-563-3611
기타 양식,포앤카츠650,강원도 정선군 사북읍 사북3길32 (2층),033-591-2367
한식,가평식당,강원도 철원군 갈말읍 강포3리 3014,033-452-2596
한식,토토수제돈가스,강원도 철원군 갈말읍 명성로 149번길 8-1,033-452-1014
한식,동송막국수,강원도 철원군 동송읍 이평로 83,033-455-3227
한식,철원식당,강원도 철원군 갈말읍 태봉로 1529,033-452-3049
한식,돈마을,강원도 철원군 갈말읍 삼부연로 18번길 8-25,033-452-3966
경양식,스팅,강원도 철원군 갈말읍 삼부연로 7번길 7-3 2층,033-452-6022
한식,우리집순대국,강원도 화천군 화천읍 중앙로4길 17,033-442-3229
한식,청수숯불닭갈비,강원도 화천군 사내면 수말리길 9,033-441-6130
한식,명동만두,강원도 화천군 화천읍 중앙로4길 11,033-442-4379
한식,강미식당,강원도 화천군 화천읍 중앙로2길 15,033-442-5252
한식,육해공,강원도 화천군 문화마을1길 27-17,033-441-2881
이·미용업,남성헤어컷,강원도 화천군 사내면 사내로 14,033-441-8805
한식,호반식당,강원도 양구군 남면 용하리 414-7,033-480-4010
한식,불타는 연탄구이,강원도 양구군 중앙길 65-19,033-482-8786
한식,수영감자탕,강원도 양구군 양구읍 비봉로 46-16,033-482-2388
한식,명동숯불고기전문,강원도 양구군 양구읍 해시계로 15,033-482-0022
한식,시골분식,강원도 양구군 양구읍 남면 삼팔선로1,033-481-4635
한식,장터국밥,강원도 양구군 양구읍 장터길 22-6,033-482-1677
한식,동문식당,강원도 양구군 양구읍 장터길 16,033-481-1057
한식,시골집,강원도 양구군 양구읍 관공서로 19,033-481-3523
한식,양평해장국,강원도 양구군 양구읍 중앙길 65-27,033-481-3979
한식,새월할매집,강원도 양구군 양구읍 상리 519-13,033-481-7626
한식,콩나물국밥,강원도 양구군 양구읍 비봉로 6-12,033-481-7949
한식,대월오골계숯불구이,강원도 양구군 남면 춘양로 2725,033-482-2900
한식,수원갈비,강원도 양구군 양구읍 양록길 33,033-482-4466
일식,회포차,강원도 양구군 양구읍 사명길 108,033-481-3678
기타 양식,도도렐라,강원도 양구군 양구읍 우정로77(도도빌),070-4128-8200
이·미용업,명지헤어라인,강원도 양구군 양구읍 중앙길 65-32,033-482-1135
이·미용업,선이미용실,강원도 양구군 양구읍 장터길11,033-481-5780
한식,남북면옥,강원도 인제군 인제읍 인제로178번길 24,033-461-2219
한식,고기촌화로숯불구이,강원도 인제군 기린면 내린천로 4013,033-463-9267
한식,진주면옥,강원도 인제군 인제읍 인제로 188번길 3,033-461-0700
세탁업,화양세탁소,강원도 인제군 남면 신남로58번길 5,033-461-6223
이·미용업,태양이용소,강원도 인제군 기린면 내린천로 3893-1,033-461-5523
이·미용업,까꼬뽀꼬미용실,강원도 인제군 기린면 내린천로 3898,033-462-4926
숙박업,국제모텔,강원도 인제군 남면 신남로 41,033-461-6172
한식,칼국수 잘하는 집,강원도 고성군 간성읍 간성시장2길 4,033-682-7622
한식,장수자매 막국수,강원도 고성군 토성면 무릉도원로 298,033-632-1127
한식,정가네칼국수,강원도 고성군 죽왕면 삼포민박촌2길 5,033-637-8588
한식,실비식당,강원도 고성군 현내면 한나루로 144-1,033-682-5548
한식,양양식당,강원도 고성군 거진읍 거탄질로129번길 13,033-682-1008
한식,이모네식당,강원도 고성군 거진읍 거진항길 11,033-681-6313
한식,진미분식,강원도 고성군 간성읍 간성시장1길 6,033-681-2568
한식,메밀촌 동치미막국수,강원도 고성군 간성읍 수성로 141,070-886-4840
한식,서울설렁탕,강원도 고성군 간성읍 고성중앙1길 7,033-681-0058
한식,덕담,강원도 고성군 토성면 서신평2길 61-12,033-631-5557
한식,길서방네,강원도 고성군 간성읍 간성시장3길 8-1,033-681-8253
한식,고기구워,강원도 고성군 거진읍 거탄진로 144,033-681-8602
한식,흥부순대국,강원도 고성군 간성읍 간성로 65-1,033-681-2723
한식,송가네숯불구이,강원도 고성군 간성읍 간성로 51-5,033-681-8292
한식,행복한밥상,강원도 고성군 간성읍 간성로 51,033-681-0709
한식,고향막국수,강원도 고성군 간성읍 교동3길 34,033-681-3167
한식,교동막국수,강원도 고성군 간성읍 진부령로,033-681-3307
한식,고성한우촌,강원도 고성군 간성읍 수성로 24,033-681-0026
일식,아야진 파도횟집,"강원도 고성군 토성면 아야진해변길26, 4호",033-631-3312
일식,하얀섬횟집,강원도 고성 죽왕면 문암항길 71-1,033-632-0293
일식,등대횟집,강원도 고성군 현내면 대진항길 141-1,
기타 양식,그린힐,강원도 고성군 간선읍 수성안길 5,
이·미용업,현미용실,강원도 고성군 간성읍 간성시장3길 7-1,033-682-4717
한식,원조 송이와 능이향,강원도 양양군 양양읍 남문5길9 시장상가,033-671-7788
한식,선이네,강원도 양양군 양양읍 양양로51,033-671-1516
한식,오뚜기식당,강원도 양양군 양양읍 남문5길9,033-671-3048
한식,대흥한우정육식당,강원도 양양군 양양읍 동해대로2661-17,033-671-8522
한식,복골메밀국수,강원도 양양군 강현면 하복길38번길17-7,033-671-7288
한식,너래바우,강원도 양양군 양양읍 남문로 16-14,033-671-1987
한식,유천식당,강원도 양양군 군청길 52,033-672-2668
중식,인구반점,강원도 양양군 인구중앙길 46-23,033-671-6049
숙박업,금강산모텔,강원도 양양군 해맞이길 8-24,033-671-0066
